project_number,name,type,current_phase,description,location,district,schedule_begin_season,schedule_end_season,begin_year,end_year,recent_update,fund_source_1,fund_source_2,fund_source_3,fund_source_4,fund_source_5,fund_source_6,utility_type,project_webpage,notice_complete_date,project_manager,last_edited_date,gis_geometry_types,cost_usd,likely_active_transportation
CIP22-00009,Tyson Bluff Design,Other,Study,This project provides for design of improvements to repair and stabilize the Tyson Bluff slope behind Tyson Street Park.,"Behind Tyson Street Park, along S Pacific St",District 1,,,,,Working on getting support from Coastal Commission on project,,,,,,,,,,emedina,2026-04-05,line;polygon,,False
CIP23-00010,Olive Drive Guardrail,Other,Construction,This project provides street improvements along Olive Drive including the construction of a steel midwest guardrail system.,4129 Olive Drive to 4165 Olive Drive,District 4,FALL,WINTER,2025,2025,Project is anticipated to start construction in October 2025 and be complete by November 2025,TransNet,,,,,,,,,kcorbin,2026-04-05,line;polygon,,False
CIP23-00011,Northerly Street Slope Repair,Other,Complete,This project consists of new storm drain piping and repair of a slope failure.,4852 Northerly Street,District 4,FALL,WINTER,2024,2025,"Blue Pacific received a Notice to Proceed on October 21st, 2024.",,,,,,,,,,dpoulton,2026-04-05,point;polygon,,False
CIP24-00010,Inland Rail Trail Feasibility Study,Other,Study,The project will evaluate the alignment of the Inland Rail TRail along the North County Transit District (NCTD) Sprinter Line from Melrose Drive to the Costal Rail Trail.,Between Melrose Drive to the Costal Rail Trail.,Multiple Districts,SUMMER,SPRING,2024,2026,Feasibility Study is set to be complete by April 2026.,Other,SB-1,,,,,,,,lcardenas,2026-04-05,line;polygon,,True
CIP24-00013,Crown Heights Pocket Park Improvements,Other,Complete,The Pocket Park is to be prepared for installment of a single modular unit. The modular will be a temporary location that will provide various services for the community during the remodel of the Crown heights Community Center.,Northeast corner of Brooks Street and Division Street,District 1,FALL,WINTER,2024,2025,Site is currently the home of the trailer complex for the Cesar Chavez Resource Center while construction is in place.,TransNet,American Rescue Plan Act,,,,,,,,vvelasco,2026-04-05,point;polygon,,False
CIP19-00017,Buccaneer Park Improvements,Parks,Design,This Measure X project provides for improvements to Buccaneer Park including a new restroom and new cafe building. https://buccaneer-park-ktuagis.hub.arcgis.com/,Buccaneer Beach Park,District 3,,,,,Staff received approval of the concept design in March 2025. Staff is working on advancing the design.,Measure X,Parks,,,,,,https://buccaneer-park-ktuagis.hub.arcgis.com/,,emedina,2026-04-05,point;polygon,,False
CIP21-00012,Calavera Creek Crossing,Parks,Design,The project provides for design of a crossing at Flood Structure #4 within Calavera Creek adjacent to Oak Riparian Park to allow acess to the Calavera Trail System.,Oak Riparian Park,District 3,WINTER,SPRING,2021,2026,Determining scope of work based on findings.,Parks,,,,,,,,,mhernandez,2026-04-05,point;polygon,,True
CIP21-00018,Joe Balderamma Park Restroom,Parks,Study,This project provides for the design of a new restroom at Joe Balderamma Park.,709 San Diego Street,District 1,,,,,Developing Request for Proposal for Design Services of the Restroom remodel.,Parks,,,,,,,,,mhernandez,2026-04-05,point;polygon,,False
CIP21-00020,El Corazon Park Site 1,Parks,Design,"This project provides for design and construction of a park at El Corazon, known as Park Site 1, which is approximately seventeen (17) acres. Park Site 1 is the first of nine parks scheduled for design and construction per the El Corazon Specific Plan.",3300 El Corazon Dr,District 4,SUMMER,WINTER,2021,2026,Design is at 90%. Staff is working on refinements of the design and finalizing design of the pump track.,Measure X,Parks,,,,,,https://www.ci.oceanside.ca.us/government/development-services/engineering/special-projects-news/el-corazon-park-site-1-study-design,,kcorbin,2026-04-05,point;polygon,,False
CIP22-00008,John Landes Park Improvements,Parks,Complete,"The project provides for City Match Funds for the installation of new skate elements, lighting, and shade structures at John Landes Park.",John Landes Park @ Cedar Rd,District 3,WINTER,SPRING,2023,2025,Construction on the new skate spot elements has completed.,Parks,Community Development Block Grant,Per Capita,Urban Per Capita,,,,,,abartleet,2026-04-05,point;polygon,,False
